date,year,month,city,country,avg_temp_c
2000-01-01,2000,1,Mexico,Mexico,12.694
2000-02-01,2000,2,Mexico,Mexico,14.677
2000-03-01,2000,3,Mexico,Mexico,17.375999999999998
2000-04-01,2000,4,Mexico,Mexico,18.294
2000-05-01,2000,5,Mexico,Mexico,18.562
2000-06-01,2000,6,Mexico,Mexico,17.27
2000-07-01,2000,7,Mexico,Mexico,17.723000000000006
2000-08-01,2000,8,Mexico,Mexico,16.967
2000-09-01,2000,9,Mexico,Mexico,16.996
2000-10-01,2000,10,Mexico,Mexico,15.605
2000-11-01,2000,11,Mexico,Mexico,15.237
2000-12-01,2000,12,Mexico,Mexico,11.966
2001-01-01,2001,1,Mexico,Mexico,12.733
2001-02-01,2001,2,Mexico,Mexico,14.461
2001-03-01,2001,3,Mexico,Mexico,15.925999999999998
2001-04-01,2001,4,Mexico,Mexico,18.156
2001-05-01,2001,5,Mexico,Mexico,18.121
2001-06-01,2001,6,Mexico,Mexico,17.809
2001-07-01,2001,7,Mexico,Mexico,17.570999999999998
2001-08-01,2001,8,Mexico,Mexico,17.71
2001-09-01,2001,9,Mexico,Mexico,16.96
2001-10-01,2001,10,Mexico,Mexico,15.281
2001-11-01,2001,11,Mexico,Mexico,13.861
2001-12-01,2001,12,Mexico,Mexico,13.157
2002-01-01,2002,1,Mexico,Mexico,12.965
2002-02-01,2002,2,Mexico,Mexico,13.622
2002-03-01,2002,3,Mexico,Mexico,17.116
2002-04-01,2002,4,Mexico,Mexico,18.396
2002-05-01,2002,5,Mexico,Mexico,19.608
2002-06-01,2002,6,Mexico,Mexico,18.479
2002-07-01,2002,7,Mexico,Mexico,17.561
2002-08-01,2002,8,Mexico,Mexico,18.084
2002-09-01,2002,9,Mexico,Mexico,17.07
2002-10-01,2002,10,Mexico,Mexico,17.051
2002-11-01,2002,11,Mexico,Mexico,13.543
2002-12-01,2002,12,Mexico,Mexico,12.945
2003-01-01,2003,1,Mexico,Mexico,12.398
2003-02-01,2003,2,Mexico,Mexico,15.373
2003-03-01,2003,3,Mexico,Mexico,17.124000000000002
2003-04-01,2003,4,Mexico,Mexico,18.917
2003-05-01,2003,5,Mexico,Mexico,20.928
2003-06-01,2003,6,Mexico,Mexico,18.661
2003-07-01,2003,7,Mexico,Mexico,17.766000000000005
2003-08-01,2003,8,Mexico,Mexico,17.783
2003-09-01,2003,9,Mexico,Mexico,17.66
2003-10-01,2003,10,Mexico,Mexico,16.386
2003-11-01,2003,11,Mexico,Mexico,15.194
2003-12-01,2003,12,Mexico,Mexico,11.623
2004-01-01,2004,1,Mexico,Mexico,12.455
